Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
CZPMO_3639,River Water,"BDE 100 (2,2�,4,4�,6-pentabromodiphenyl ether)",Water,ug/L,2014,2014-02-24--2014-11-17,0.0001,6,1,1,0.0001,0,0.00039,0,0.0017,0,0.00015,11139611,Czech Republic,0,0,0,2014-02-24,2014-11-17
CZPVL_1041,River Water,Perfluorooctane sulfonic acid (PFOS) and its derivatives,Water,ug/L,2014,2014-01-13--2014-12-09,0.1,12,11,1,0.1,1,0.1,1,0.1,1,0.1,11140020,Czech Republic,0,0,0,2014-01-13,2014-12-09
CZPVL_1041,River Water,Terbutryn,Water,ug/L,2014,2014-01-13--2014-12-09,0.01,12,12,1,0.01,1,0.01,1,0.01,1,0.01,11140161,Czech Republic,0,0,0,2014-01-13,2014-12-09
CZPVL_1041,River Water,"1,2-dichlorobenzene",Water,ug/L,2014,2014-01-13--2014-12-09,0.05,12,12,1,0.05,1,0.05,1,0.05,1,0.05,11140171,Czech Republic,0,0,0,2014-01-13,2014-12-09
CZPOD_1163,River Water,Chlortoluron,Water,ug/L,2014,2014-01-08--2014-12-03,0.03,12,12,1,0.03,1,0.03,1,0.03,1,0.03,11140214,Czech Republic,0,0,0,2014-01-08,2014-12-03
ATPG54304492,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03,1,1,1,0.03,1,0.03,1,0.03,1,0.03,11168869,Austria,0,0,0,2015-01-01,2015-12-31
ATPG80112152,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03,1,1,1,0.03,1,0.03,1,0.03,1,0.03,11169188,Austria,0,0,0,2015-01-01,2015-12-31
ATPG80224352,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03,1,1,1,0.03,1,0.03,1,0.03,1,0.03,11169210,Austria,0,0,0,2015-01-01,2015-12-31
ATKK71320022,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03375,1,1,1,0.03375,1,0.03375,1,0.03375,1,0.03375,11169348,Austria,0,0,0,2015-01-01,2015-12-31
ATKK71410112,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03375,1,1,1,0.03375,1,0.03375,1,0.03375,1,0.03375,11169362,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20625032,Ground Water,Atrazine,Water,ug/L,2015,2015-01-01--2015-12-31,0.01,1,1,1,0.01,1,0.01,1,0.01,1,0.01,11169777,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30400152,Ground Water,Atrazine,Water,ug/L,2015,2015-01-01--2015-12-31,0.01,1,1,1,0.01,1,0.01,1,0.01,1,0.01,11169860,Austria,0,0,0,2015-01-01,2015-12-31
